AVY,4435,"-4.05180500291,52.5446375618","LL35 0NR, UK",Aberdovey,Gwynedd - Gwynedd
ABH,4440,"-4.37773663173,52.8973485848","LL53 6PJ, UK",Abererch,Gwynedd - Gwynedd
AGV,3602,"-3.00914192767,51.8171078414","NP7 5HS, UK",Abergavenny,Monmouthshire - Sir Fynwy
AGL,2448,"-3.58017429351,53.2940974731","LL22 7PR, UK",Abergele & Pensarn,Conwy - Conwy
AYW,4303,"-4.08181676198,52.4139615938","SY23 1LH, UK",Aberystwyth,Ceredigion - Sir Ceredigion
ACR,2552,"-2.37055076331,53.7531682694","BB5 1QQ, UK",Accrington,Lancashire
AAT,8600,?,"57.6097, -4.9137, UK",Achanalt,Highland
ACN,8601,"-5.08163901187,57.5740726496","IV22 2EJ, UK",Achnasheen,Highland
ACH,8602,"-5.52027816781,57.3833702411","IV54 8YH, UK",Achnashellach,Highland
ACK,7662,?,"NE65 4DE, UK",Acklington,Northumberland
ACL,7286,"1.54153843295,52.6341735251","NR13 3BZ, UK",Acle,Norfolk
ACG,4529,"-1.8192426858,52.4499342896","B27 6EB, UK",Acocks Green,West Midlands
ACB,2287,?,"CW8 2RE, UK",Acton Bridge,Cheshire
ACC,1404,?,"W3 0BH, UK",Acton Central,Greater London
AML,3000,"-0.266895632014,51.5169293956","W3 9EH, UK",Acton Main Line,Greater London
ADD,1036,"-1.85905935345,52.4806729911","B9 4TG, UK",Adderley Park,West Midlands
ADW,9310,"-3.60474668641,55.8440027082","EH55 8NQ, UK",Addiewell,West Lothian
ASN,5550,"-0.484380832719,51.373169905","KT15 2PB, UK",Addlestone,Surrey
ADM,5160,"1.19966671553,51.240849431","CT3 3JE, UK",Adisham,Kent
ADC,2939,"-2.1343503,53.3209144","SK10 4NA, UK",Adlington (Cheshire),Cheshire
ADL,2641,?,"PR8 9RS, UK",Adlington (Lancashire),Lancashire
AWK,8353,?,"DN6 7AJ, UK",Adwick,South Yorkshire
AIG,2255,"-2.92593463456,53.3657912416","L17 6AG, UK",Aigburth,Merseyside
ANS,2350,"-3.04234992026,53.6020204367","PR8 3HJ, UK",Ainsdale,Merseyside
AIN,2125,"-2.95619903288,53.4736260198","L9 5BE, UK",Aintree,Merseyside
AIR,9695,"-3.9934527744,55.7820772299","ML1 2SX, UK",Airbles,North Lanarkshire
ADR,9759,"-3.98031197304,55.8634325283","ML6 9EX, UK",Airdrie,North Lanarkshire
AYP,5132,"0.125666061235,51.4360907713","DA5 3HP, UK",Albany Park,Greater London
ALB,4614,"-2.27079464469,52.6360253857","WV7 3DS, UK",Albrighton,Shropshire
ALD,2760,"-2.2368290888,53.3037283641","SK9 7QA, UK",Alderley Edge,Cheshire
